"ep_number","ep_title","restaurant","location","ep_air_date","google_string","freq_visited","index","yelp_string"
10,"Cookin' It Old School","Big Mama's Kitchen & Catering","Omaha, Nebraska",2008-10-06,"Big Mama's Kitchen & Catering Omaha Nebraska yelp",1,154,"big-mamas-kitchen-omaha"
11,"Grabbin'a Sandwich","Moochie's Meatballs & More","Salt Lake City, Utah",2008-10-13,"Moochie's Meatballs & More Salt Lake City Utah yelp",1,155,"moochies-meatballs-and-more-salt-lake-city"
11,"Grabbin'a Sandwich","Cemitas Puebla","Chicago, Illinois",2008-10-13,"Cemitas Puebla Chicago Illinois yelp",1,156,"cemitas-puebla-chicago-5"
11,"Grabbin'a Sandwich","Tioli's Crazee Burger","San Diego, California",2008-10-13,"Tioli's Crazee Burger San Diego California yelp",1,157,"crazee-burger-san-diego-3"
12,"Traditional Dishes","Donatelli's","White Bear Lake, Minnesota",2008-11-03,"Donatelli's White Bear Lake Minnesota yelp",1,158,"donatellis-white-bear-lake"
12,"Traditional Dishes","Stoney Creek Inn","Baltimore, Maryland",2008-11-03,"Stoney Creek Inn Baltimore Maryland yelp",1,159,"stoney-creek-inn-greenland-beach"
12,"Traditional Dishes","Alcenia's","Memphis, Tennessee",2008-11-03,"Alcenia's Memphis Tennessee yelp",1,160,"alcenias-desserts-and-preserves-shop-memphis"
13,"Doin' Their Own Thing","Lone Star Taqueria","Salt Lake City, Utah",2008-11-10,"Lone Star Taqueria Salt Lake City Utah yelp",1,161,"lone-star-taqueria-salt-lake-city-2"
13,"Doin' Their Own Thing","Modern Cafe","Minneapolis, Minnesota",2008-11-10,"Modern Cafe Minneapolis Minnesota yelp",1,162,"modern-times-caf%25C3%25A9-minneapolis-2"
13,"Doin' Their Own Thing","Brewburger's","Omaha, Nebraska",2008-11-10,"Brewburger's Omaha Nebraska yelp",1,163,"brewburgers-omaha-3"
1,"What’s For Breakfast","Surrey's Cafe","New Orleans, Louisiana",2008-11-10,"Surrey's Cafe New Orleans Louisiana yelp",1,164,"surreys-caf%25C3%25A9-and-juice-bar-new-orleans-2"
